TotalLength_cm,StandardLength_cm,Weight_g
34,27.4,630.9
16.1,12.8,73.6
22.1,17,170
9.8,7.5,11.7
9.45,7.3,13.4
9.6,7.3,15.3
8.85,6.4,16.2
11.35,8.25,42.5
2.4,1.8,0.2
2.3,1.8,0.1
2.4,1.8,0.2
2.3,1.8,0.1
2.5,1.9,0.1
2.5,1.9,0.1
3.3,2.1,0.4
3.3,2.1,0.4
3.2,2.2,0.25
3.2,2.2,0.25
2.8,2.2,0.3
2.9,2.3,0.4
3,2.3,0.25
2.9,2.3,0.4
3,2.3,0.25
3.1,2.4,0.3
3.1,2.4,0.3
3,2.5,0.3
3.4,2.6,0.5
3.3,2.6,0.5
3.4,2.6,0.5
3.3,2.6,0.3
3.5,2.7,0.7
3.5,2.7,0.7
3.7,2.8,6.6
3.9,2.9,0.9
3.8,2.9,0.7
3.1,2.9,0.3
3.9,2.9,0.9
3.8,2.9,0.7
3.1,2.9,0.3
4,3,0.8
4.6,3,1.6
3.9,3.1,0.7
4.5,3.3,1.2
4.2,3.3,1.1
4.8,3.45,1.85
4.5,3.5,1.8
4.5,3.5,1.8
4.7,3.6,1.6
4.7,3.6,1.4
4.7,3.6,1.6
4.9,3.6,1.6
4.7,3.6,1.6
4.7,3.6,1.4
4.7,3.6,1.6
4.9,3.6,1.6
4.65,3.65,1.6
5.1,3.8,2.5
5.1,3.9,1.7
5.2,3.9,2.1
5.2,3.9,2.1
5.55,4,3.04
5.6,4,3.2
5.4,4,3.1
6,4.1,3.4
5.6,4.1,3.8
5.5,4.15,2.5
5.7,4.25,2.1
5.9,4.3,2.6
5.9,4.4,2.4
5.85,4.5,4.35
6.2,4.6,3.5
6,4.6,2.2
6.3,4.65,4.72
6.4,4.7,3.2
6.65,4.7,5.51
6,4.7,3.8
6.3,4.7,3.8
6,4.8,3.5
6.65,4.8,3.3
6,4.8,4.55
6.2,4.9,3.1
6.5,4.9,3.4
6.65,5,4.4
7.3,5,5.2
6.5,5,3.8
6.5,5,3.8
6.8,5.05,3.5
7.05,5.1,4.6
7.1,5.1,4
7.1,5.1,4
7.05,5.1,4.6
6.8,5.15,7.1
7,5.15,6.1
6.9,5.15,13.1
7.3,5.2,5.2
7.1,5.2,5.6
6.7,5.2,3.8
7,5.25,5.4
7.3,5.3,9.3
7.35,5.3,6.3
6.6,5.3,4.5
7.1,5.3,5.5
7.35,5.35,9.5
7.35,5.35,6.9
7.4,5.4,5.4
7.3,5.5,6.1
7.45,5.5,7.7
7.45,5.5,6.4
7.5,5.5,7.6
7.3,5.5,6.5
7.1,5.5,7.1
7.3,5.5,7.8
7.3,5.5,5.6
7.3,5.5,5.6
7.1,5.5,4.7
7.8,5.6,10.7
7.5,5.6,6.5
7.3,5.6,5.4
7.4,5.6,8.8
7.8,5.65,10
7.7,5.7,10.7
7.7,5.7,10.4
7.45,5.7,7.9
7.6,5.7,7.2
7.5,5.7,5.8
7.8,5.7,6.8
7.75,5.78,4.5
7.9,5.8,7
7.8,5.8,6.4
7.9,5.85,10.7
7.8,5.9,7.7
8.2,5.9,8.3
7.9,5.9,7.8
7.5,5.9,7.5
7.7,5.9,8.2
7.6,5.95,7.2
7.85,5.95,8.8
8.3,5.95,10.1
8.1,5.95,6.4
8,6,12.5
7.85,6,8.2
7.8,6,8.6
8,6,5.9
8.1,6,7.5
8,6,5.9
8.1,6,7.5
8.4,6.05,11.7
8.4,6.05,11.7
9,6.1,12.2
9,6.1,11.4
8.5,6.1,10.2
9,6.1,11.4
8.5,6.1,10.2
8.5,6.1,10.6
8.4,6.1,11.8
8,6.1,6.9
7.9,6.1,8.2
8.2,6.15,9.3
8.25,6.15,8.9
8.4,6.15,10.3
8.45,6.2,12.5
8.5,6.2,11.7
8,6.2,10
8.05,6.2,9.3
8.2,6.2,7.9
9.2,6.2,13.9
8.4,6.25,9.3
8.2,6.25,10.3
8.5,6.25,10.4
8.5,6.25,10.4
8.2,6.3,12.7
8.3,6.3,10.1
8.5,6.3,11.7
8.5,6.3,10.9
8.3,6.3,9.1
8.3,6.3,9.2
8.2,6.3,12.4
8.2,6.35,8.1
8.7,6.35,11.15
8.5,6.35,8.8
8.6,6.35,8.6
8.5,6.35,11.5
8.5,6.35,8.8
8.6,6.35,8.6
8.5,6.35,11.5
8.7,6.4,14.2
8.3,6.4,8.5
6.8,5.2,4.6
7.75,5.8,5.4
6.1,4.75,2.9
5.9,4.55,2.5
5.4,4.05,1.7
5.8,4.45,2.4
